"Year","individuals"
1986,1
1986,1
1986,1
1986,1
1987,1
1987,0.909090909090909
1987,0.888888888888889
1987,1
1988,1.0625
1988,0.875
1988,1
1988,1
1989,0.9
1989,1
1989,1
1989,1
1990,0.8
1990,0.833333333333333
1990,0.916666666666667
1990,1
1991,1.07272727272727
1991,1.08333333333333
1991,0.956521739130435
1991,1
1992,1
1992,1
1992,1
1992,1
1993,0.571428571428571
1993,1
1993,1
1993,0.75
1994,0.933333333333333
1994,1
1994,0.8
1994,1.2
1995,1
1995,1
1995,1
1995,1
1996,1.5
1996,1
1996,1
1997,1.3
1997,1
1997,1.07142857142857
1997,1
1998,0.8
1998,1
1998,1
1998,1.28571428571429
1999,0.333333333333333
1999,0.0606060606060606
1999,0.209677419354839
1999,0.5
2000,0.447368421052632
2000,0.5
2000,0.342465753424658
2000,0.444444444444444
2001,0.0181818181818182
2001,0.0377358490566038
2001,0.0158730158730159
2001,0.0175438596491228
2002,0.134328358208955
2002,0.0909090909090909
2002,0.0869565217391304
2002,0.0428571428571429
2003,0.388059701492537
2003,0.573170731707317
2003,0.392405063291139
2003,1.13432835820896
2004,0.48936170212766
2004,0.4
2004,0.432835820895522
2004,0.394366197183099
2005,0.196078431372549
2005,0.213114754098361
2005,0.185185185185185
2005,0.142857142857143
2006,0.0625
2006,0.0909090909090909
2006,0.104477611940299
2006,0.0882352941176471
2007,0.174603174603175
2007,0.2
2007,0.137254901960784
2007,0.169811320754717
2008,0.296296296296296
2008,0.442307692307692
2008,0.36734693877551
2008,0.232142857142857
2009,0.0597014925373134
2009,0.129032258064516
2009,0.0655737704918033
2009,0.0701754385964912
2010,0.148148148148148
2010,0.137254901960784
2010,0.136363636363636
2010,0.0784313725490196
2011,0.0277777777777778
2011,0.0547945205479452
2011,0.0694444444444444
2011,0.0547945205479452
2012,0.173913043478261
2012,0.295774647887324
2012,0.146666666666667
2012,0.146666666666667
2013,0.194444444444444
2013,0.208333333333333
2013,0.072463768115942
2013,0.162162162162162
2014,0.184210526315789
2014,0.25
2014,0.220588235294118
2014,0.276315789473684
2015,0.0625
2015,0.0344827586206897
2015,0
2015,0.015625
2016,0.0566037735849057
2016,0.0740740740740741
2016,0.0408163265306122
2016,0.0769230769230769
2017,0.0181818181818182
2017,0.0612244897959184
2017,0.125
2017,0.102040816326531
2018,0.0540540540540541
2018,0.108108108108108
2018,0.0697674418604651
2018,0.0909090909090909
