"start_year","N_data","N_years","slope","slope_se","p_value","intercept","intercept_se","intercept_p_value","r_square","adj_r_square","site","trmt","taxa","trophic_class","trophic_level"
2000,24,3,0.114619954266635,0.143972031089399,0.434465625380261,-229.738675783684,288.088058193233,0.433707276211304,0.0280031179476389,-0.0161785585092864,"sbcoastal","reef_carp","kelp","producer","Primary"
2001,24,3,0.128727720195303,0.166428536342049,0.447475364365178,-258.022535231561,333.18995746716,0.446937118517997,0.0264736366631427,-0.0177775616703508,"sbcoastal","reef_carp","kelp","producer","Primary"
2002,24,3,0.129012543137656,0.180541399768907,0.482378546128201,-258.548031055806,361.624453782286,0.48215089765333,0.0226841506575147,-0.0217392970398709,"sbcoastal","reef_carp","kelp","producer","Primary"
2003,24,3,0.560734399396005,0.263928303373332,0.0450992026938577,-1123.47572601501,528.912363860407,0.0451403969834447,0.170243470841785,0.132527264970957,"sbcoastal","reef_carp","kelp","producer","Primary"
2004,24,3,0.168728837578959,0.336405906180267,0.620957067354895,-337.864909310153,674.493897819265,0.621405026334383,0.0113055274935148,-0.0336351303476892,"sbcoastal","reef_carp","kelp","producer","Primary"
2005,24,3,-0.201628404124881,0.403767102931072,0.622477383795873,405.054478937665,809.956875572966,0.62197452087331,0.0112078903456958,-0.0337372055476817,"sbcoastal","reef_carp","kelp","producer","Primary"
2006,24,3,0.592192789976368,0.412085917856575,0.164771444849082,-1187.72165729796,827.056505579585,0.165046743314329,0.0858147989514482,0.044260926176514,"sbcoastal","reef_carp","kelp","producer","Primary"
2007,24,3,-0.243179652611584,0.387498737415847,0.536750574341879,488.990899196041,778.097529056837,0.53618351260471,0.0175867430093279,-0.0270684050357026,"sbcoastal","reef_carp","kelp","producer","Primary"
2008,24,3,-0.961830609488425,0.266857711672345,0.00157513808469482,1932.71842166544,536.117187026778,0.00157230393957136,0.371264258200337,0.342685360845806,"sbcoastal","reef_carp","kelp","producer","Primary"
2009,24,3,-0.141460260586515,0.118621536986867,0.245755973639412,284.123633515751,238.429309015499,0.246096669356964,0.0607176946619312,0.0180230444192918,"sbcoastal","reef_carp","kelp","producer","Primary"
2010,24,3,-0.00790653834153657,0.112933491851324,0.944817742806367,15.5599775357506,227.109270832305,0.945996038026204,0.000222744926635214,-0.0452216757585178,"sbcoastal","reef_carp","kelp","producer","Primary"
2011,24,3,-0.121509997421702,0.0982386091373545,0.229170600296239,244.08604001842,197.656097859806,0.229893770824208,0.0650189205095092,0.0225197805326688,"sbcoastal","reef_carp","kelp","producer","Primary"
2012,24,3,-0.0388593830029826,0.0650297517053635,0.556232938780133,77.7716829700799,130.904900951194,0.558500127586745,0.015971749705935,-0.0287568071256132,"sbcoastal","reef_carp","kelp","producer","Primary"
2013,24,3,0.0707393085792659,0.0536455220499403,0.200851614599968,-142.920795653916,108.042090287348,0.199479798783635,0.0732479608313519,0.0311228681418679,"sbcoastal","reef_carp","kelp","producer","Primary"
2014,24,3,0.611261937673656,0.145922490783639,0.00038032883562507,-1231.71629818517,294.033843068402,0.00038025493226431,0.443704086283762,0.418417908387569,"sbcoastal","reef_carp","kelp","producer","Primary"
2015,24,3,0.698114767471552,0.188326457746127,0.00122926397273072,-1406.93112205544,379.666169954825,0.00123293862141763,0.384467308319669,0.356488549606927,"sbcoastal","reef_carp","kelp","producer","Primary"
2016,24,3,-0.615350420023875,0.205210104857339,0.0066154964658207,1241.60098760548,413.908815410673,0.00659925364967998,0.290135227002318,0.257868646411515,"sbcoastal","reef_carp","kelp","producer","Primary"
2017,24,3,-0.759560913331234,0.157383098935802,0.0000803214005466151,1532.81097455905,317.599119648995,0.0000803109952762224,0.514264298459461,0.492185402934891,"sbcoastal","reef_carp","kelp","producer","Primary"
2018,24,3,0.0176669790792612,0.0353317216846448,0.622017631170154,-36.1352699132216,71.3347519145024,0.617503489327085,0.0112373615726138,-0.0337063947195402,"sbcoastal","reef_carp","kelp","producer","Primary"
